Data,Out
Afghanistan,Afghanistan
Africa,Africa
African Group,
African Union,
African Union: Central Africa,
African Union: Eastern Africa,
African Union: Northern Africa,
African Union: Southern Africa,
African Union: Western Africa,
"African, Caribbean and Pacific (ACP) Group of States",
Albania,Albania
Algeria,Algeria
Andean Community,
Angola,Angola
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Asia,
Asia-Pacific Economic Cooperation (APEC),
Asia-Pacific Group,
Association of Southeast Asian Nations (ASEAN),
Australia,Australia
Australia/New Zealand,
Austria,
Azerbaijan,Azerbaijan
BRIC,
BRICS,
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Belt-Road Initiative (BRI),
Belt-Road Initiative: Africa,
Belt-Road Initiative: Asia,
Belt-Road Initiative: Europe,
Belt-Road Initiative: Latin America and the Caribbean,
Belt-Road Initiative: Pacific,
Benin,Benin
Bhutan,Bhutan
Black Sea Economic Cooperation (BSEC),
Bolivarian Alliance for the Americas (ALBA),
Bolivia (Plurinational State of),Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
Brunei Darussalam,Brunei Darussalam
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cabo Verde,Cabo Verde
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Caribbean,
Caribbean Community and Common Market (CARICOM),
Central African Republic,
Central America,
Central Asia,
Central European Free Trade Agreement (CEFTA),
Central and Southern Asia,
Chad,Chad
Channel Islands,Channel Islands
Chile,Chile
China,China
China (and dependencies),
"China, Hong Kong SAR","China, Hong Kong SAR"
"China, Macao SAR","China, Macao SAR"
"China, Taiwan Province of China","Taiwan, ROC"
Colombia,Colombia
Commonwealth of Independent States (CIS),
Commonwealth of Nations,
Commonwealth: Africa,
Commonwealth: Asia,
Commonwealth: Caribbean and Americas,
Commonwealth: Europe,
Commonwealth: Pacific,
Comoros,Comoros
Congo,Congo
Costa Rica,Costa Rica
Countries with Access to the Sea,
Countries with Access to the Sea: Africa,
Countries with Access to the Sea: Asia,
Countries with Access to the Sea: Europe,
Countries with Access to the Sea: Latin America and the Caribbean,
Countries with Access to the Sea: Northern America,
Countries with Access to the Sea: Oceania,
Croatia,Croatia
Cuba,Cuba
Curaçao,Curaçao
Cyprus,Cyprus
Czechia,Czechia
Côte d'Ivoire,Côte d'Ivoire
Dem. People's Republic of Korea,DPR Korea
Democratic Republic of the Congo,DR Congo
Denmark,Denmark
Denmark (and dependencies),
Djibouti,Djibouti
Dominican Republic,Dominican Republic
ECE: North America-2,
ECE: UNECE-52,
ECLAC: Latin America,
ECLAC: The Caribbean,
ESCAP region: East and North-East Asia,
ESCAP region: North and Central Asia,
ESCAP region: Pacific,
ESCAP region: South and South-West Asia,
ESCAP region: South-East Asia,
ESCAP: ADB Developing member countries (DMCs),
ESCAP: ADB Group A (Concessional assistance only),
ESCAP: ADB Group B (OCR blend),
ESCAP: ADB Group C (Regular OCR only),
ESCAP: ASEAN,
ESCAP: Central Asia,
ESCAP: ECO,
ESCAP: HDI groups,
ESCAP: Landlocked countries (LLDCs),
ESCAP: Least Developed Countries (LDCs),
ESCAP: Pacific island dev. econ.,
ESCAP: SAARC,
ESCAP: WB High income econ.,
ESCAP: WB Low income econ.,
ESCAP: WB Lower middle income econ.,
ESCAP: WB Upper middle income econ.,
ESCAP: WB income groups,
ESCAP: high HDI,
ESCAP: high income,
ESCAP: income groups,
ESCAP: low HDI,
ESCAP: low income,
ESCAP: lower middle HDI,
ESCAP: lower middle income,
ESCAP: other Asia-Pacific countries/areas,
ESCAP: upper middle HDI,
ESCAP: upper middle income,
ESCWA: Arab countries,
ESCWA: Arab least developed countries,
ESCWA: Gulf Cooperation Council countries,
ESCWA: Maghreb countries,
ESCWA: Mashreq countries,
ESCWA: member countries,
East African Community (EAC),
Eastern Africa,
Eastern Asia,
Eastern Europe,
Eastern European Group,
Eastern and South-Eastern Asia,
Economic Community of Central African States (ECCAS),
Economic Community of West African States (ECOWAS),
Economic Cooperation Organization (ECO),
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Eswatini,Eswatini
Ethiopia,Ethiopia
Eurasian Economic Community (Eurasec),
Europe,
Europe (48),
Europe and Northern America,
European Community (EC: 12),
European Free Trade Agreement (EFTA),
European Union (EU: 15),
European Union (EU: 28),
Fiji,Fiji
Finland,Finland
France,France
France (and dependencies),
French Guiana,French Guiana
French Polynesia,French Polynesia
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greater Arab Free Trade Area (GAFTA),
Greece,Greece
Grenada,Grenada
Group of 77 (G77),
Group of Eight (G8),
Group of Seven (G7),
Group of Twenty (G20) - member states,
Guadeloupe,Guadeloupe
Guam,Guam
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Gulf Cooperation Council (GCC),
Guyana,Guyana
Haiti,Haiti
High-income countries,
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran (Islamic Republic of),Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
LLDC: Africa,
LLDC: Asia,
LLDC: Europe,
LLDC: Latin America,
Land-locked Countries,
Land-locked Countries (Others),
Land-locked Developing Countries (LLDC),
Lao People's Democratic Republic,Lao PDR
Latin America and the Caribbean,
Latin American Integration Association (ALADI),
Latin American and Caribbean Group (GRULAC),
Latvia,Latvia
"League of Arab States (LAS, informal name: Arab League)",
Least developed countries,
Least developed: Africa,
Least developed: Asia,
